EventNumber,Locations,People,Objects,Animals
1,train station,George Clooney,football,cat
2,supermarket,Britney Spears,wallet,dog
3,cinema,Mel Gibson,hammer,hamster
4,restaurant,Beyonce,lightbulb,lion
5,bar,Justin Bieber,battery,peacock
6,office,Hilary Clinton,skateboard,monkey
7,parking lot,Vladamir Putin,necklace,slug
8,gym,Angelina Jolie,violin,chicken
9,bowling alley,George Bush,notebook,sheep
10,elevator,Bill Murray,handbag,cow
11,tree house,Barack Obama,stroller,ferret
12,living room,Jim Carrey,trophy,goldfish
13,hospital,Ellen DeGeneres,shovel,lobster
14,church,Robert De Niro,bike,moose
15,swimming pool,Bono,calculator,rat
16,cruise ship,Christopher Walken,carrot,panda
17,coffee shop,Tom Hanks,camera,octopus
18,zoo,Stephen Hawking,book,duck
19,nightclub,Sean Connery,trumpet,
20,park,Johnny Depp,basket,
21,school yard,Taylor Swift,umbrella,
22,police station,Paris Hilton,mug,
23,beach,Lady Gaga,television,
24,stadium,Emma Watson,baseball bat,
25,ski lift,Bill Gates,magnet,
26,kitchen,Donald Trump,mirror,
27,bedroom,Madonna,whisk,
28,basement,Clint Eastwood,,fox
29,patio,Paul McCartney,,frog
30,airport,Harrison Ford,,goat
31,highway,Oprah Winfrey,,scorpion
32,river,John Travolta,,badger
33,corn field,Scarlett Johansson,,parrot
34,bank,Pamela Anderson,,dolphin
35,hair salon,Meryl Streep,,wolf
36,casino,Angela Merkel,,giraffe